timestamp,asset_id,tempF,pressurePSI,vibrationMM,failure_flag
2025-12-14T09:46:50.754Z,MOTOR-307,176.3,108.6,2.28,0
2025-12-14T09:47:50.754Z,MOTOR-307,172.1,94.9,1.32,0
2025-12-14T09:48:50.754Z,MOTOR-307,170.4,96.3,2.35,0
2025-12-14T09:49:50.754Z,MOTOR-307,175.1,107,1.69,0
2025-12-14T09:50:50.754Z,MOTOR-307,194.4,105.5,1.48,0
2025-12-14T09:51:50.754Z,MOTOR-307,167.9,96.4,1.67,0
2025-12-14T09:52:50.754Z,MOTOR-307,182.1,89.3,1.21,0
2025-12-14T09:53:50.754Z,MOTOR-307,167.5,93.5,1.75,0
2025-12-14T09:54:50.754Z,MOTOR-307,185.7,105.7,2.11,0
2025-12-14T09:55:50.754Z,MOTOR-307,161.4,90.3,1.54,0
2025-12-14T09:56:50.754Z,MOTOR-307,177.5,94.4,1.16,0
2025-12-14T09:57:50.754Z,MOTOR-307,176.3,106.6,2.83,0
2025-12-14T09:58:50.754Z,MOTOR-307,187.4,88.6,1.66,0
2025-12-14T09:59:50.754Z,MOTOR-307,162.1,97.9,1.62,0
2025-12-14T10:00:50.754Z,MOTOR-307,173.4,88.6,1.72,0
2025-12-14T10:01:50.754Z,MOTOR-307,168.5,102.2,2.18,0
2025-12-14T10:02:50.754Z,MOTOR-307,165.3,101.8,1.68,0
2025-12-14T10:03:50.754Z,MOTOR-307,162.2,107.7,1.73,0
2025-12-14T10:04:50.754Z,MOTOR-307,161.2,101.2,1.74,0
2025-12-14T10:05:50.754Z,MOTOR-307,193.4,102.8,1.78,0
2025-12-14T10:06:50.754Z,MOTOR-307,164.4,103.4,1.14,0
2025-12-14T10:07:50.754Z,MOTOR-307,173,105.9,1.75,0
2025-12-14T10:08:50.754Z,MOTOR-307,165.8,105.6,1.58,0
2025-12-14T10:09:50.754Z,MOTOR-307,173.9,103.2,2.14,0
2025-12-14T10:10:50.754Z,MOTOR-307,198.6,92.6,1.54,0
2025-12-14T10:11:50.754Z,MOTOR-307,190.4,102.2,1.71,0
2025-12-14T10:12:50.754Z,MOTOR-307,176.2,96.5,2.25,0
2025-12-14T10:13:50.754Z,MOTOR-307,184.5,96.6,0.98,0
2025-12-14T10:14:50.754Z,MOTOR-307,182.7,97.1,1.64,0
2025-12-14T10:15:50.754Z,MOTOR-307,172,96,1.84,0
2025-12-14T10:16:50.754Z,MOTOR-307,170.8,104.7,1.39,0
2025-12-14T10:17:50.754Z,MOTOR-307,148.8,101.1,2.34,0
2025-12-14T10:18:50.754Z,MOTOR-307,163.5,106.2,0.78,0
2025-12-14T10:19:50.754Z,MOTOR-307,168.9,99.6,1.53,0
2025-12-14T10:20:50.754Z,MOTOR-307,163.1,92.9,2.67,0
2025-12-14T10:21:50.754Z,MOTOR-307,186.5,103.2,2.69,0
2025-12-14T10:22:50.754Z,MOTOR-307,169.3,90.1,1.13,0
2025-12-14T10:23:50.754Z,MOTOR-307,179.1,106.1,2.01,0
2025-12-14T10:24:50.754Z,MOTOR-307,200.7,111.1,2.36,0
2025-12-14T10:25:50.754Z,MOTOR-307,175.1,97,1.88,0
2025-12-14T10:26:50.754Z,MOTOR-307,146.4,106.2,1.52,0
2025-12-14T10:27:50.754Z,MOTOR-307,163.6,95,3.01,0
2025-12-14T10:28:50.754Z,MOTOR-307,172.1,91.4,0.48,0
2025-12-14T10:29:50.754Z,MOTOR-307,193.3,96.3,1.9,0
2025-12-14T10:30:50.754Z,MOTOR-307,170.5,102.2,1.45,0
2025-12-14T10:31:50.754Z,MOTOR-307,169.1,99.3,2.13,0
2025-12-14T10:32:50.754Z,MOTOR-307,168.4,103.4,1.61,0
2025-12-14T10:33:50.754Z,MOTOR-307,163.5,102,1.78,0
2025-12-14T10:34:50.754Z,MOTOR-307,169.3,92.7,0.84,0
2025-12-14T10:35:50.754Z,MOTOR-307,165.1,95.5,1.4,0
2025-12-14T10:36:50.754Z,MOTOR-307,166.4,103.9,1.62,0
2025-12-14T10:37:50.754Z,MOTOR-307,181,99.8,1.72,0
2025-12-14T10:38:50.754Z,MOTOR-307,179.8,109.9,1.7,0
2025-12-14T10:39:50.754Z,MOTOR-307,172.7,102.2,1.54,0
2025-12-14T10:40:50.754Z,MOTOR-307,170.9,104.8,1.8,0
2025-12-14T10:41:50.754Z,MOTOR-307,179.7,88.2,1.08,0
2025-12-14T10:42:50.754Z,MOTOR-307,172.2,94.7,2.71,0
2025-12-14T10:43:50.754Z,MOTOR-307,191.9,104.7,1.56,0
2025-12-14T10:44:50.754Z,MOTOR-307,186.1,99.5,1.85,0
2025-12-14T10:45:50.754Z,MOTOR-307,172.7,92,2.12,0
2025-12-14T10:46:50.754Z,MOTOR-307,173.9,112,1.69,0
2025-12-14T10:47:50.754Z,MOTOR-307,193.1,104.8,2.14,0
2025-12-14T10:48:50.754Z,MOTOR-307,189.2,94.4,1.56,0
2025-12-14T10:49:50.754Z,MOTOR-307,187,118.6,1.72,0
2025-12-14T10:50:50.754Z,MOTOR-307,163.7,98.7,1.25,0
2025-12-14T10:51:50.754Z,MOTOR-307,176.1,100.7,2.72,0
2025-12-14T10:52:50.754Z,MOTOR-307,174.1,100,1.22,0
2025-12-14T10:53:50.754Z,MOTOR-307,149.2,103.5,2.24,0
2025-12-14T10:54:50.754Z,MOTOR-307,174.1,93,2.13,0
2025-12-14T10:55:50.754Z,MOTOR-307,181,91.2,0.77,0
2025-12-14T10:56:50.754Z,MOTOR-307,162.1,106.5,1.4,0
2025-12-14T10:57:50.754Z,MOTOR-307,171.8,102.9,1.98,0
2025-12-14T10:58:50.754Z,MOTOR-307,182.3,101,1.67,0
2025-12-14T10:59:50.754Z,MOTOR-307,181.5,106,1.93,0
2025-12-14T11:00:50.754Z,MOTOR-307,195.7,108.1,1.53,0
2025-12-14T11:01:50.754Z,MOTOR-307,176.9,95.1,0.85,0
2025-12-14T11:02:50.754Z,MOTOR-307,166.2,105.7,0.55,0
2025-12-14T11:03:50.754Z,MOTOR-307,194.7,101.2,1.51,0
2025-12-14T11:04:50.754Z,MOTOR-307,171.8,104.5,2.19,0
2025-12-14T11:05:50.754Z,MOTOR-307,175.2,101.9,0.95,0
2025-12-14T11:06:50.754Z,MOTOR-307,195.5,97.9,2.36,0
2025-12-14T11:07:50.754Z,MOTOR-307,180.3,91,2.64,0
2025-12-14T11:08:50.754Z,MOTOR-307,173.8,104.9,2,0
2025-12-14T11:09:50.754Z,MOTOR-307,168.1,105.7,1.8,0
2025-12-14T11:10:50.754Z,MOTOR-307,181.7,111.2,1.95,0
2025-12-14T11:11:50.754Z,MOTOR-307,190.1,94.9,1.84,0
2025-12-14T11:12:50.754Z,MOTOR-307,164.2,90.6,2.1,0
2025-12-14T11:13:50.754Z,MOTOR-307,166.5,105.6,1.45,0
2025-12-14T11:14:50.754Z,MOTOR-307,170.1,110.8,1.81,0
2025-12-14T11:15:50.754Z,MOTOR-307,182.5,105.8,2.98,0
2025-12-14T11:16:50.754Z,MOTOR-307,172.5,100.6,2.23,0
2025-12-14T11:17:50.754Z,MOTOR-307,168.4,98,2.13,0
2025-12-14T11:18:50.754Z,MOTOR-307,195,103.6,1.5,0
2025-12-14T11:19:50.754Z,MOTOR-307,164.1,102.1,2.33,0
2025-12-14T11:20:50.754Z,MOTOR-307,168.4,102.3,2.35,0
2025-12-14T11:21:50.754Z,MOTOR-307,172.2,98.6,1.88,0
2025-12-14T11:22:50.754Z,MOTOR-307,165.4,95.4,1.98,0
2025-12-14T11:23:50.754Z,MOTOR-307,178.7,98.1,2.44,0
2025-12-14T11:24:50.754Z,MOTOR-307,175.5,100.2,2.07,0
2025-12-14T11:25:50.754Z,MOTOR-307,184.2,104.9,2.29,0
2025-12-14T11:26:50.754Z,MOTOR-307,186.5,102.3,1.7,0
